objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,auton_00.jpg,Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil (Catálogo),Mercantil Arte y Cultura,2006,Portada del catálogo de la exposición Autonomía y Desplazamiento,ceramic art--Venezuela; art--exhibitions--Venezuela; Venezuelan ceramists; Coleción Mercantil,"Caracas, Venezuela",10.73886508,-66.97146228,p. 00 Catálogo Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil,Portada y contraportada,Image; StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by Mercantil Arte y Cultura AC, Venezuela",https://rightsstatements.org/en/
coll002,auton_01.jpg,Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil (Catálogo),Mercantil Arte y Cultura,2006,Página de listado de artistas del catálogo de la exposicion Autonomia y Desplazamiento,ceramic art--Venezuela; art--exhibitions--Venezuela; Venezuelan ceramists; Coleción Mercantil,"Caracas, Venezuela",10.73886508,-66.97146228,p. 01 Catálogo Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil,p. 01,Image; StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by Mercantil Arte y Cultura AC, Venezuela",https://rightsstatements.org/en/
coll003,auton_02_03.jpg,Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil (Catálogo),Mercantil Arte y Cultura,2006,Páginas de créditos e índice del catálogo de la exposicion Autonomia y Desplazamiento,ceramic art--Venezuela; art--exhibitions--Venezuela; Venezuelan ceramists; Coleción Mercantil,"Caracas, Venezuela",10.73886508,-66.97146228,pp. 02 y 03 Catálogo Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil,pp. 02-03,Image; StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by Mercantil Arte y Cultura AC, Venezuela",https://rightsstatements.org/en/
coll004,auton_04_05.jpg,Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil (Catálogo),Mercantil Arte y Cultura,2006,"Páginas con el texto ""Una metáfora del tiempo"" de Tahía Rivero","Rivero, Tahía; ceramic art--Venezuela; art--exhibitions--Venezuela; Venezuelan ceramists; Coleción Mercantil","Caracas, Venezuela",10.73886508,-66.97146228,pp. 04 y 05 Catálogo Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil,pp. 04-05,Image; StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by Mercantil Arte y Cultura AC, Venezuela",https://rightsstatements.org/en/
coll005,auton_06_07.jpg,Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil (Catálogo),Mercantil Arte y Cultura,2006,Página con texto de presentación de Rolando Carmona,"Carmona, Rolando; ceramic art--Venezuela; art--exhibitions--Venezuela; Venezuelan ceramists; Coleción Mercantil","Caracas, Venezuela",10.73886508,-66.97146228,pp. 06 y 07 Catálogo Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil,pp. 06-07,Image; StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by Mercantil Arte y Cultura AC, Venezuela",https://rightsstatements.org/en/
coll006,auton_08_09.jpg,Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil (Catálogo),Mercantil Arte y Cultura,2006,Páginas de fichas técnicas de las obras de las páginas 12 a la 67 del catálogo,ceramic art--Venezuela; art--exhibitions--Venezuela; Venezuelan ceramists; Coleción Mercantil,"Caracas, Venezuela",10.73886508,-66.97146228,pp. 08 y 09 Catálogo Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil,pp. 08-09,Image; StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by Mercantil Arte y Cultura AC, Venezuela",https://rightsstatements.org/en/
coll007,auton_10_11.jpg,Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil (Catálogo),Mercantil Arte y Cultura,2006,Páginas de fichas técnicas de las obras de las páginas 68 a la 111 del catálogo,ceramic art--Venezuela; art--exhibitions--Venezuela; Venezuelan ceramists; Coleción Mercantil,"Caracas, Venezuela",10.73886508,-66.97146228,pp. 10 y 11 Catálogo Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil,pp. 10-11,Image; StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by Mercantil Arte y Cultura AC, Venezuela",https://rightsstatements.org/en/
coll008,auton_12_13.jpg,Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil (Catálogo),Mercantil Arte y Cultura,2006,"Bio de Doménica Aglialoro, texto crítico y foto de parte de la obra Pa, pe, pipí, po, pu","Aglialoro, Doménica; ceramic art--Venezuela; art--exhibitions--Venezuela; Venezuelan ceramists; Coleción Mercantil","Caracas, Venezuela",10.73886508,-66.97146228,pp. 12 y 13 Catálogo Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil,pp. 12-13,Image; StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by Mercantil Arte y Cultura AC, Venezuela",https://rightsstatements.org/en/
coll009,auton_14_15.jpg,Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil (Catálogo),Mercantil Arte y Cultura,2006,"Foto de la obra Pa, pe, pipí, po de Doménica Aglialoro","Aglialoro, Doménica; ceramic art--Venezuela; art--exhibitions--Venezuela; venezuelan ceramists; Coleción Mercantil","Caracas, Venezuela",10.73886508,-66.97146228,pp. 14 y 15 Catálogo Autonomía y Desplazamiento. Cerámica contemporánea en la Colección Mercantil,pp. 14-15,Image; StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by Mercantil Arte y Cultura AC, Venezuela",https://rightsstatements.org/en/
