objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,mer_cat_aut_0002b_medium.jpg,Catalogo Mercantil Ceramica Contemporanea: Autonomia y Desplazamiento -80 Años Mercantil,Fundacion Mercantil,2006,Autonomia y Desplazamiento: Ceramica Contemporanea Coleccion Mercantil 80 Años.,ceramic art--Venezuela; art--exhibitions--Venezuela; ceramistas Venezolanos; Catalogo Exhibicion Fundacion Mercantil,"Caracas, Venezuela",10.73886508,-66.97146228,"PG 1, Coleccion de Ceramica Venezolana -Autonomia y Desplazamiento Exhibicion-Fundacion Mercantil",Page 1_012_013,Image;StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by the Fundación Mercantil, Venezuela.",https://rightsstatements.org/en/
coll002,mer_cat_aut_0003a_medium.jpg,Catalogo Mercantil Ceramica Contemporanea: Autonomia y Desplazamiento -80 Años Mercantil,Fundacion Mercantil,2006, Itinerario de Exposicion Autonomia y Desplazamiento. 80 Años Mercantil,ceramic art--Venezuela; art--exhibitions--Venezuela; ceramistas Venezolanos; Catalogo Exhibicion Fundacion Mercantil,"Caracas, Venezuela",10.73886508,-66.97146228,"PG 1, Coleccion de Ceramica Venezolana -Autonomia y Desplazamiento Exhibicion-Fundacion Mercantil",,Image;StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by the Fundación Mercantil, Venezuela.",https://rightsstatements.org/en/
coll003,mer_cat_aut_0003b_medium.jpg,Catalogo Mercantil Ceramica Contemporanea: Autonomia y Desplazamiento -80 Años Mercantil,Fundacion Mercantil,2006,Autonomia y Desplazamiento Catalog Colophon Page,ceramic art--Venezuela; art--exhibitions--Venezuela; ceramistas Venezolanos; Catalogo Exhibicion Fundacion Mercantil,"Caracas, Venezuela",10.73886508,-66.97146228,"PG 1, Coleccion de Ceramica Venezolana -Autonomia y Desplazamiento Exhibicion-Fundacion Mercantil",,Image;StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by the Fundación Mercantil, Venezuela.",https://rightsstatements.org/en/
coll004,mer_cat_aut_0004a_medium.jpg,Autonomia y Desplazamiento: Itinerario de Exhibicion,Fundacion Mercantil,2006,Una Metafora del Tiempo ,"Rivero, Tahía; ceramic art--Venezuela; ceramistas Venezolanos; Catalogo Exhibicion Fundacion Mercantil","Caracas, Venezuela",10.73886508,-66.97146228,"PG 1, Coleccion de Ceramica Venezolana -Autonomia y Desplazamiento Exhibicion-Fundacion Mercantil",,Image;StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by the Fundación Mercantil, Venezuela.",https://rightsstatements.org/en/
coll005,mer_cat_aut_0004b_medium.jpg,Una Metafora del Tiempo,Fundacion Mercantil,2006,Una Metafora del Tiempo Text ,"Rivero, Tahía; ceramic art--Venezuela; ceramistas Venezolanos; Catalogo Exhibicion Fundacion Mercantil","Caracas, Venezuela",10.73886508,-66.97146228,"PG 1, Coleccion de Ceramica Venezolana -Autonomia y Desplazamiento Exhibicion-Fundacion Mercantil",,Image;StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by the Fundación Mercantil, Venezuela.",https://rightsstatements.org/en/
coll006,mer_cat_aut_0008a_medium.jpg,Domenica Aglialoro Bio.,Fundacion Mercantil,2006,Domenica Aglialoro Bio. ,"Aglialoro, Doménica, 1962-; ceramic art--Venezuela; ceramistas Venezolanos; Catalogo Exhibicion Fundacion Mercantil","Caracas, Venezuela",10.73886508,-66.97146228,"PG 1, Coleccion de Ceramica Venezolana -Autonomia y Desplazamiento Exhibicion-Fundacion Mercantil",,Image;StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by the Fundación Mercantil, Venezuela.",https://rightsstatements.org/en/
coll007,mer_cat_aut_0009a_medium.jpg,"Domenica Aglialoro: Pa, pe, pipí, po",Fundacion Mercantil,2006,"Page 1: Pa, pe, pipí, po. 012_013_014_015. Medium: Porcelana modelada y tela. Dimensions: .Instalación de medidas variablesa","Aglialoro, Doménica, 1962-; ceramic art--Venezuela; ceramistas Venezolanos; Catalogo Exhibicion Fundacion Mercantil","Caracas, Venezuela",10.73886508,-66.97146228,"PG 1, Coleccion de Ceramica Venezolana -Autonomia y Desplazamiento Exhibicion-Fundacion Mercantil",,Image;StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by the Fundación Mercantil, Venezuela.",https://rightsstatements.org/en/
coll008,mer_cat_aut_0009b_medium.jpg,"Domenica Aglialoro: Pa, pe, pipí, po",Fundacion Mercantil,2006,"Page 2: Pa, pe, pipí, po. 012_013_014_015. Medium: Porcelana modelada y tela. Dimensions: .Instalación de medidas variablesa","Aglialoro, Doménica, 1962-; ceramic art--Venezuela; ceramistas Venezolanos; Catalogo Exhibicion Fundacion Mercantil","Caracas, Venezuela",10.73886508,-66.97146228,"PG 1, Coleccion de Ceramica Venezolana -Autonomia y Desplazamiento Exhibicion-Fundacion Mercantil",,Image;StillImage,image/jpeg,spa,"This material is protected by copyright. Copyright is held by the Fundación Mercantil, Venezuela.",https://rightsstatements.org/en/
